origin,55,30,25
vertex,426,-0.10,-0.74,0.00
vertex,427,-0.10,-0.78,-0.12
vertex,428,-0.11,-0.87,-0.22
vertex,429,-0.13,-0.99,-0.25
vertex,430,-0.15,-1.12,-0.22
vertex,431,-0.16,-1.21,-0.12
vertex,432,0.00,-1.25,0.00
vertex,433,0.00,-1.22,0.12
vertex,434,0.00,-1.12,0.22
vertex,435,0.00,-1.00,0.25
vertex,436,0.00,-0.88,0.22
vertex,437,0.00,-0.78,0.12
vertex,438,0.00,-0.75,0.00
vertex,439,0.00,-0.78,-0.12
vertex,440,0.00,-0.88,-0.22
vertex,441,0.00,-1.00,-0.25
vertex,442,0.00,-1.12,-0.22
vertex,443,0.00,-1.22,-0.12
vertex,444,0.16,-1.24,0.00
vertex,445,0.16,-1.21,0.12
vertex,446,0.15,-1.12,0.22
vertex,447,0.13,-0.99,0.25
vertex,448,0.11,-0.87,0.22
vertex,449,0.10,-0.78,0.12
vertex,450,0.10,-0.74,0.00
vertex,451,0.10,-0.78,-0.12
vertex,452,0.11,-0.87,-0.22
vertex,453,0.13,-0.99,-0.25
vertex,454,0.15,-1.12,-0.22
vertex,455,0.16,-1.21,-0.12
vertex,456,0.32,-1.21,0.00
vertex,457,0.31,-1.18,0.12
vertex,458,0.29,-1.09,0.22
vertex,459,0.26,-0.97,0.25
vertex,460,0.23,-0.85,0.22
vertex,461,0.20,-0.76,0.12
vertex,462,0.19,-0.72,0.00
vertex,463,0.20,-0.76,-0.12
vertex,464,0.23,-0.85,-0.22
vertex,465,0.26,-0.97,-0.25
vertex,466,0.29,-1.09,-0.22
vertex,467,0.31,-1.18,-0.12
vertex,468,0.48,-1.15,0.00
vertex,469,0.47,-1.12,0.12
vertex,470,0.43,-1.04,0.22
vertex,471,0.38,-0.92,0.25
vertex,472,0.33,-0.81,0.22
vertex,473,0.30,-0.72,0.12
vertex,474,0.29,-0.69,0.00
vertex,475,0.30,-0.72,-0.12
vertex,476,0.33,-0.81,-0.22
vertex,477,0.38,-0.92,-0.25
vertex,478,0.43,-1.04,-0.22
vertex,479,0.47,-1.12,-0.12
vertex,480,0.62,-1.08,0.00
vertex,481,0.61,-1.05,0.12
vertex,482,0.56,-0.97,0.22
vertex,483,0.50,-0.87,0.25
vertex,484,0.44,-0.76,0.22
vertex,485,0.39,-0.68,0.12
vertex,486,0.37,-0.65,0.00
vertex,487,0.39,-0.68,-0.12
vertex,488,0.44,-0.76,-0.22
vertex,489,0.50,-0.87,-0.25
vertex,490,0.56,-0.97,-0.22
vertex,491,0.61,-1.05,-0.12
vertex,492,0.76,-0.99,0.00
vertex,493,0.74,-0.97,0.12
vertex,494,0.68,-0.89,0.22
vertex,495,0.61,-0.79,0.25
vertex,496,0.53,-0.69,0.22
vertex,497,0.48,-0.62,0.12
vertex,498,0.46,-0.60,0.00
vertex,499,0.48,-0.62,-0.12
vertex,500,0.53,-0.69,-0.22
vertex,501,0.61,-0.79,-0.25
vertex,502,0.68,-0.89,-0.22
vertex,503,0.74,-0.97,-0.12
vertex,504,0.88,-0.88,0.00
vertex,505,0.86,-0.86,0.12
